App,Model_1,Total_1,Foreign_1,Destination_1,Accuracy_1,Precision_1,Recall_1,Specificity_1,FPR_1,F1_1,MCC_1,Layers_1,Topology_1,Epochs_1,Train_Loss_1,Test_Loss_1,Train_Time_1,Mean_Error_1,Std_Error_1,Threshold_1,New_1,Model_2,Total_2,Foreign_2,Destination_2,Accuracy_2,Precision_2,Recall_2,Specificity_2,FPR_2,F1_2,MCC_2,Layers_2,Topology_2,Epochs_2,Train_Loss_2,Test_Loss_2,Train_Time_2,Mean_Error_2,Std_Error_2,Threshold_2,New_2
AsnAsn,model/Applications/below500/AsnAsn/AsnAsnOnly.pth,15074,14826,248,99.06,0.64902507,0.93951613,0.99150142,0.00849858,0.76771005,0.7767269,4,182-91-45-16-45-91-182,964,7.362e-05,7.181e-05,2.77,7.181e-05,5.958e-05,0.0001760415325406,True,model/Applications/below500/AsnAsn/AsnAsnPreTrained.pth,15074,14826,248,99.04,0.64507042,0.9233871,0.99150142,0.00849858,0.75953566,0.76745458,4,182-91-45-16-45-91-182,536,4.295e-05,4.447e-05,2.52,4.447e-05,5.256e-05,0.0001210096961585,False
BeeerBeeer,model/Applications/below500/BeeerBeeer/BeeerBeeerOnly.pth,15074,14732,342,99.46,0.8372093,0.94736842,0.99572359,0.00427641,0.88888889,0.88792431,4,182-91-45-16-45-91-182,1859,0.00013275,0.00014399,7.54,0.00014399,0.00010767,0.0003726598806679,True,model/Applications/below500/BeeerBeeer/BeeerBeeerPreTrained.pth,15074,14732,342,99.34,0.79562044,0.95614035,0.99429813,0.00570187,0.8685259,0.86903164,4,182-91-45-16-45-91-182,940,0.00019995,0.00020574,4.64,0.00020574,0.00017925,0.0004923811065964,False
BiglySoftwreBiglyBT,model/Applications/below500/BiglySoftwreBiglyBT/BiglySoftwreBiglyBTOnly.pth,15074,14933,141,99.9,1.0,0.89361702,1.0,0.0,0.94382022,0.94483877,4,182-91-45-16-45-91-182,1520,0.00023006,0.0001678,5.1,0.0001678,0.00033276,0.0005267448723316,True,model/Applications/below500/BiglySoftwreBiglyBT/BiglySoftwreBiglyBTPreTrained.pth,15074,14933,141,99.91,1.0,0.90070922,1.0,0.0,0.94776119,0.94861245,4,182-91-45-16-45-91-182,818,0.00019106,0.00014816,3.89,0.00014816,0.00040546,0.0004898974439129,False
BrveBrve,model/Applications/below500/BrveBrve/BrveBrveOnly.pth,15074,14924,150,99.87,1.0,0.87333333,1.0,0.0,0.93238434,0.93392874,4,182-91-45-16-45-91-182,1381,4.878e-05,3.45e-05,6.49,3.45e-05,6.241e-05,5.177778075449169e-05,True,model/Applications/below500/BrveBrve/BrveBrvePreTrained.pth,15074,14924,150,99.93,1.0,0.92666667,1.0,0.0,0.96193772,0.9622807,4,182-91-45-16-45-91-182,722,2.093e-05,1.221e-05,3.85,1.221e-05,3.674e-05,1.2419343875080813e-05,False
CloudAGCloudDrive,model/Applications/below500/CloudAGCloudDrive/CloudAGCloudDriveOnly.pth,15074,14996,78,95.63,0.10055096,0.93589744,0.95645505,0.04354495,0.18159204,0.29902498,4,182-91-45-16-45-91-182,1239,3.641e-05,5.202e-05,5.62,5.202e-05,0.00015318,0.0004684778105001,True,model/Applications/below500/CloudAGCloudDrive/CloudAGCloudDrivePreTrained.pth,15074,14996,78,95.63,0.10055096,0.93589744,0.95645505,0.04354495,0.18159204,0.29902498,4,182-91-45-16-45-91-182,606,1.149e-05,1.589e-05,6.29,1.589e-05,4.085e-05,0.0001273449743166,False
CozyCloudCozyDrive,model/Applications/below500/CozyCloudCozyDrive/CozyCloudCozyDriveOnly.pth,15074,15002,72,99.67,0.60377358,0.88888889,0.99720037,0.00279963,0.71910112,0.73111128,4,182-91-45-16-45-91-182,641,4.65e-06,4.86e-06,3.29,4.86e-06,8.2e-07,5.529967893380672e-06,True,model/Applications/below500/CozyCloudCozyDrive/CozyCloudCozyDrivePreTrained.pth,15074,15002,72,99.62,0.56097561,0.95833333,0.99640048,0.00359952,0.70769231,0.73170405,4,182-91-45-16-45-91-182,406,5.9e-07,6.2e-07,3.34,6.2e-07,1.3e-07,7.310471801247331e-07,False
CrineCrine,model/Applications/below500/CrineCrine/CrineCrineOnly.pth,15074,14842,232,99.42,0.75086505,0.93534483,0.9951489,0.0048511,0.83301344,0.83530306,4,182-91-45-16-45-91-182,1276,0.00018936,0.00017516,8.16,0.00017516,0.00055658,0.0002219291927758,True,model/Applications/below500/CrineCrine/CrineCrinePreTrained.pth,15074,14842,232,99.43,0.75172414,0.93965517,0.9951489,0.0048511,0.83524904,0.83775268,4,182-91-45-16-45-91-182,768,0.00014872,0.00013185,6.01,0.00013185,0.00054321,9.06278073671274e-05,False
DeezerDeezer,model/Applications/below500/DeezerDeezer/DeezerDeezerOnly.pth,15074,14812,262,98.04,0.46994536,0.98473282,0.98035377,0.01964623,0.63625154,0.67325492,4,182-91-45-16-45-91-182,1493,7.503e-05,8.469e-05,9.78,8.469e-05,0.00013904,0.0005181431188248,True,model/Applications/below500/DeezerDeezer/DeezerDeezerPreTrained.pth,15074,14812,262,98.05,0.47037037,0.96946565,0.98069133,0.01930867,0.63341646,0.66813374,4,182-91-45-16-45-91-182,862,7.197e-05,8.408e-05,6.67,8.408e-05,0.00016451,0.0006159233162179,False
EvernoteEvernote,model/Applications/below500/EvernoteEvernote/EvernoteEvernoteOnly.pth,15074,14605,469,99.34,0.85964912,0.94029851,0.99507018,0.00492982,0.89816701,0.89570654,4,182-91-45-16-45-91-182,1910,0.00014146,0.00014514,18.44,0.00014514,0.00026517,0.0004026992246508,True,model/Applications/below500/EvernoteEvernote/EvernoteEvernotePreTrained.pth,15074,14605,469,99.35,0.86019417,0.9445629,0.99507018,0.00492982,0.9004065,0.89810293,4,182-91-45-16-45-91-182,1301,7.921e-05,8.923e-05,16.11,8.923e-05,0.00023011,0.0003382292343303,False
GoogleChrome,model/Applications/below500/GoogleChrome/GoogleChromeOnly.pth,15074,14787,287,96.56,0.35089974,0.95121951,0.96584838,0.03415162,0.51267606,0.56648107,4,182-91-45-16-45-91-182,1449,0.00023026,0.00022306,19.95,0.00022306,0.00033407,0.0003748406888917,True,model/Applications/below500/GoogleChrome/GoogleChromePreTrained.pth,15074,14787,287,96.56,0.35089974,0.95121951,0.96584838,0.03415162,0.51267606,0.56648107,4,182-91-45-16-45-91-182,906,0.00010208,0.00010499,8.86,0.00010499,0.00028696,0.0001471722207497,False
